subject,story_id,story,imagine,response,rating_will,rating_justif,ratingRT,justifRT,stamp
75,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,beat holla  kill  pound  plenty bunt popped deal blue ,4.98,3.02,7655,8752,1/30/19 14:31
34,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,I imagine my friend believing what I said. Although my friend would believe me I would feel a little uneasy for lying about something like that.,1,1,12563,3789,1/30/19 14:31
37,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"two, to, too, hell, bell, well, cat, fat, hat, bar, tar, far, mar, claws, , sell, ",1.03,1.07,8436,5519,1/30/19 14:31
53,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,We were setting in the cafeteria this Monday eating lunch when Sara walked over to our table. It was so noisy in the cafeteria. My friends are so loud. Sara asked if she could sit with us but there were no chairs left. My friends chuckled and I could see the pain on Sara's face. After all she just mi,1.27,5.04,11629,10605,1/30/19 14:31
105,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"paws, maws, claws, laid, wade, made, flow, tow, casks, masks, ",1.06,1.09,9559,8923,1/30/19 14:31
70,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,i would feel a little bit bad about lying to the customer that the car has no flaws..,1.99,2.03,25438,5226,1/30/19 14:31
86,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"chalk, fries, mast, right, might, pushing, talk, fast, two, car, bar, latch, tries, ",6.03,3.03,11638,7612,1/30/19 14:32
76,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",1,"I walk up to my friend, glancing behind me as I do so to gauge the reactions of the people in line. As long as it appears that no one is going to say anything, I stand beside my friend, cutting in front of everyone else.",2.03,2,3463,3117,1/30/19 14:32
26,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"boo, new, sue, who
bar, far, tar, mar, par
mold, fold, told, cold
bin, sin, fin, pin, kin, win, tin
bow, sew, 
low, toe, woe, dough",2.01,2.02,7319,17874,1/30/19 14:32
100,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,"I walk over to the guest that is vegetarian, whom is currently sitting on the couch waiting for dinner. I inform her that the soup is made with vegetable broth, so she doesn't have to worry. I feel kind of crappy inside, as I know it was made with chicken broth which she probably would not eat. However I spent so much time cooking that I do not want this food to go to waste. I kindly smile at her as I go back to prepar",1,2,7341,4841,1/30/19 14:32
81,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,"I have had a long day at work and I'm tired. I see an open seat on the train. At the same time I notice an elderly person looking for a seat as well. I'm closer to the empty seat, so I grab it. I feel better after being able to sit for a couple of minutes.",4.99,4.99,9023,7448,1/30/19 14:32
40,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,"far, ajar, cold, bold, told, mold, jaw, claw, ball, mar, par, bar, tar, stayed, fade, jade, laid, made, maid, paid, evade, raid, wade,",2,1.05,10427,4735,1/30/19 14:33
114,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"crushing, light, humbling, base, skrrt, size, skies, talk, bumbling, tight, chase, ten, fast, cast, match, busting, guys, snatch",6.02,5.02,8355,6513,1/30/19 14:33
67,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",1,Everyone praising my excellent soup.,4,6.2,19634,5541,1/30/19 14:34
75,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,bit town brain be knee ban door beat,1,1,8405,15113,1/30/19 14:34
34,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I notice someone struggling with a heavy suitcase but I'm in such a rush that I don't want to help. I would only be concerned with catching my flight at that moment.,6.03,4,5623,1870,1/30/19 14:34
