subject,version,condition,story,imagine,response,rating,stamp,id,rationalization
1,imagine_v1,1,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You run after the person to tell them they dropped it.",0,,6,11/4/15 13:31,112,NA
1,imagine_v1,1,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You get up and check on the baby, letting your spouse sleep.",1,"I get up muzzily from my sound sleep - hearing the baby cry on the monitor.  My stomach sinks and I wait a second to see if he'll stop.  He doesn't.  My husband is sound asleep and has work in the morning, so I silence the monitor, push the blankets off, pull on pants, and quietly leave the room.  I cross the hall to the baby's room, saying ""shh shh shhh"" as I enter.  I find his pacifier on the floor where he threw it, lay him down gently, put the paci in, and cover him with his blanket, tucking it at the edges - I say ""shh shh shh sweetie night night time"" and rub my hand gently on his forehead and hair.  He shushes and I leave the room, crawling back into bed, checking my phone for a few minutes before I attempt to go back to sleep",7,11/4/15 13:34,166,NA
1,imagine_v1,1,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You stay standing, and let the person take the seat.",0,,6,11/4/15 13:35,178,NA
1,imagine_v1,1,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You say yes, and help them for the rest of the night.",0,,6,11/4/15 13:35,186,NA
1,imagine_v1,1,"You are walking through a pretty park, drinking a soda. You finish your soda and want to throw out the can, but can't find a trash bin. You see someone else's soda can lying in the grass. You pick up the other soda can, and carry both back to your house.",0,,5,11/4/15 13:36,191,NA
1,imagine_v1,1,"You're a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and give it to your sibling.",0,,2,11/4/15 13:36,197,NA
1,imagine_v1,1,You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You give the volunteer a big portion of your food.,0,,2,11/4/15 13:36,204,NA
1,imagine_v1,1,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is near the back of the line, and you know they really want to see the movie, so you offer to give up your spot in line for them.",1,"I'm waiting in line at the movie theater -- I see my friend behind me and wave with a smile.  As I get closer to the front of the line I hear the workers exclaiming how popular the movie is and how they won't get through the whole line. I was feeling a little indifferent about seeing the movie today - I'd be just as happy seeing it another time, but I remember my friend posting on facebook how they have been waiting forever to see this movie and they are so happy they finally get to see it today! I call back to them to come up here - they come up, and I tell them the movie is going to sell out - would they like my place in line - I've decided I want to wait and see it with someone else I know.  They agree, and I wave, tell them to enjoy, and decide to go to the grocery store!",2,11/4/15 13:40,263,NA
1,imagine_v1,1,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You admit that the car has a flaw, and tell the customer about a different car dealership with a better car.",1,"I'm sitting at my desk, and a customer comes in.  He tells me he's interested in that black honda civic out on the lot.  Those are great cars, he says - last for ages! I tell him, they are great, but I think that one's got a little transmission issue -- maybe it's not in your budget to get it fixed?  He agrees, and asks if I have any other civics?  I really want to make a sale, but we don't have any.  I tell him no, we don't, but the dealer up the street actually has a couple in that my buddy told me are problem free. He thanks me - I didn't make a sale, but I made a customer happy.",5,11/4/15 13:43,304,NA
1,imagine_v1,1,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You decide to remake the soup with vegetable broth.",0,,2,11/4/15 13:43,307,NA
