subject,story_id,story,imagine,response,rating_will,rating_justif,ratingRT,justifRT,stamp
24,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"crown, drown, lane, bane, cane, insane, sane, drain, be, bee, knee, fee, tree, free, he, me, pee, we, feet, neat, beat, wheat, eat, heat, meat, meet, hit, fit, lit, knit, mitt, ",1,1,5543,3764,1/19/21 14:10
84,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",1,I feel bad because I deprived the elderly person of something they wanted. I feel that I was being selfish in this situation.,1.24,2.72,5312,2116,1/19/21 14:10
251,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",1,"I imagine grasping the money, and putting it into the pocket of my jeans. I think that while I do that, I feel guilty. I might second-guess my decision and want to call out to the person to tell them, but instead I am greedy and keep the money. I feel bad about my decision and bad about myself. I regret my decision and wish I could go back in time and change it. The benefit of $50 is not worth the regret I am feeling.",1.27,1.33,5852,5978,1/19/21 14:10
257,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"I imagined being in a room with my boss as he asks why I deserve a promotion over my coworker. I imagine I'm hesitant but because I want the promotion, I'd very carefully go over all the ways my coworker did not help. I imagine I would be quite nervous but I would be thinking about my own personal situation.",4.2,3.78,9902,3384,1/19/21 14:10
101,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"They are in their room trying to put some things together. In this case, I imagined a generic person, but I've mostly always lived (prior to getting married and getting a house), with close friends. As such I felt pretty guilty in the scenario. I'm almost always one to help out at least for a bit before doing my own thing if someone needs it. In the scenario I just left them be which was in the moment satisfying but I'd have felt guilty about it later.",2,2,4915,3821,1/19/21 14:11
280,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"rain, pain, stain, gain, plain, vain, meat, eat, greet, treat, repeat, feat, hit, bit, fit, lit, pit, true, grew, flew",2.06,4,9336,5035,1/19/21 14:11
228,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,"House
Mouse
Wreck
View
Few
Right
Sight
White
Sighing
Dying
Weep",1.92,3.07,4265,3611,1/19/21 14:11
65,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"you and to
",1.98,1.99,7779,5577,1/19/21 14:11
285,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"I imagined sitting with my friends in a busy cafeteria.  I feel badly that there are no seats left, I'm thinking I should tell them to grab a chair and pull it up cause I don't want them to eat alone. I think that my friends would agree with me and that they would also suggest having the person sit with us even if it was a little crammed. I imagine that it's a women wanting to sit with me and my f",3.04,5.06,9401,3227,1/19/21 14:11
186,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,"sill
mill
nifty
kill
clown
frown
tossed
bar
mar
blink
wink
bin
win
cards
me
he
fee
she
thee
hit
fit
nit
kit
",2.04,2.99,16163,7462,1/19/21 14:11
