subject,condition,story_id,story,test_story_id,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
237,0,6,"<b>Story</b>: You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. <u>You avert your eyes and walk past them.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",3,0,"I am in a bad mood so I don't want to interact with anyone, including the person struggling with the suitcase. Afterwards, I feel bad that I let my bad mood stop me from helping someone.",4.98,3.75,1,4.11,5.34,5.43,55531,4/10/16 17:33
9,2,9,"<b>Story</b>: You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. <u>You pretend to be asleep until your spouse gets up to check on the baby.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",9,1,"It's 12:45. I haven't been able to sleep for days; work has been keeping me busy. Now, I have a newborn. I love her and her cute smile, but she keeps crying late at night. My wife is sleeping besides me. I know she's tired too, but I have to get up in a couple of hours. I think I'll pretend that I'm sleepy.",5,2.77,1,6.05,5.59,5.41,6810,4/10/16 17:33
245,2,9,"<b>Story</b>: You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. <u>You pretend to be asleep until your spouse gets up to check on the baby.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",4,0,"I had just finished a 12 hour shift earlier that day. I've been trying to pick up extra hours to make sure the baby has everything she needs. She started crying last night and I was exhausted, so I let my wife get up and check on her. I know it can be tough watching the kid all day, but I was the one who had just finished a 12 hour shift at work. ",3,4,1,6,5.01,5.72,17052,4/10/16 17:33
93,2,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",3,0,"I tell my boss the truth about my co worker, that he is lazy and slow, and not a hard worker. I tell the boss that the coworker spends most of his time at work on social media and not on work.",3.07,6.2,1,4.88,6.55,6.73,8784,4/10/16 17:34
163,0,3,"<b>Story</b>: You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. <u>The person is at the front of the line, and you use them as an excuse to cut the line.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",2,0,I really want to see the new movie Zootopia. I have purposely made sure to come while kids are still in school on my day off. I know if I can't get these tickets I will be stuck with a hundred screaming kids. I see my buddy in front of line and talk to him to jump into front of line and get my ticket. I see some people getting mad over it and it makes me feel horrible but I still have my ticket to see this showing the movie now. ,5.99,2.03,1,2,6.01,5.99,18479,4/10/16 17:34
492,2,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",4,1,"I would imagine that my co-worker has always been very rude to me.  He doesn't treat me with respect and has always gone out of his way to make my life difficult.  He previously did a similar thing to me when he was asked to evaluate me, so it would be justified if I gave him a little taste of his own medicine.",6.06,4.99,1,6.11,5.39,6.19,3362,4/10/16 17:34
377,0,4,"<b>Story</b>: You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. <u>You tell your boss all the worst parts of your co-worker's performance.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",8,0,"I imagined that I was working on a project with someone and when I was asked about my co workers performance, I told them that I thought they did a poor job. I felt like I carried most all of the weight and responsibility of the project and that they sat back and enjoyed the ride. Afterwards, I begin to feel bad. My coworker is nice and a good person, and they didn't really think that they did a poor job. I'm wondering what the retribution for performing badly is going to be.",4.99,3.03,1,5.06,6.06,6.88,11941,4/10/16 17:34
480,0,1,"<b>Story</b>: You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. <u>The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.</u> Afterward, you think the behavior was unjustified, and feel bad a",9,0,"A new student comes up to me and my friends table. They ask if they can sit down, there is obviously empty seats. I don't even look at the new student, but reply that all of the seats are taken. There is an uncomfortable silence as the new student looks to the empty seats to me, and back to the empty seats. After an uncomfortable amount of time, he silently turns around and goes back to the empty table. My friends snicker as he leaves, but I can't help but feeling badly about my actions.",2.38,1.03,1,1.25,5.4,5.55,12290,4/10/16 17:34
358,2,5,"<b>Story</b>: You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. <u>You pick it up and put it in your wallet.</u> Afterward, you think the behavior was justified, and don't feel bad about it.",1,0,"I'm walking down the street and there is a person in front of me, but not too close. I see a $50 bill lying on the ground. I crouch down to pick it up. For a brief moment, I think it might belong to the person in front of me, but I can't be sure. I pull out my wallet and quickly place the bill in it. I replace the wallet to my back pocket quickly as to not draw attention to myself. I feel a little guilty and wonder if it might belong to that person in front of me. ",2.05,2.98,1,5,5.98,6.02,39843,4/10/16 17:35
483,0,2,"<b>Story</b>: You're about to sit down on a crowded train, when you see an elderly person searching for a seat. <u>You sit down in the seat.</u> Afterward, you think the behavior was unjustified, and feel bad about it.",2,1,I have had a busy morning and I am not paying attention as I was late to the train. I see an old woman with a walker and take my seat. Then i realize that I have taken the last seat and the old lady has not place. I get up and offer my seat to her and will stand until another seat opens up.,2.87,1.98,1,1.92,6.23,6.96,5231,4/10/16 17:35
