subject,version,condition,story_id,story,test_story_id,imagine,response,responseRT,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,justif1RT,stamp,id
8,baseline,0,11,"Youí¢ä‰åä‹¢re having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell the guest that the soup is made with vegetable broth.",NA,1,"After sweating away in the kitchen all day long to make my mother's special recipe soup. I hear the doorbell ring and in pops Daree. Seeing her all of a sudden reminds me that she is vegetarian. I talk her into having a glass of wine in the living room. While I quickly hide any evidence of the chicken broth. While having dinner I'm thinking in the back of my mind she will never know, unless she gets sick of course. ",NA,5,3,NA,NA,NA,NA,NA,NA,11/9/15 20:20,1211
8,baseline,0,1,"You are walking out of the grocery store. A volunteer from the local food bank asks you if you have any food to donate. You tell the volunteer that you caní¢ä‰åä‹¢t donate any food, and continue walking.",NA,1,While leaving Walmart I was asked for a food donation for the food bank I abruptly say no as I head to my car and pop the trunk and while putting my groceries in realize I have a trunk full of groceries I could have donated something.,NA,2,1,NA,NA,NA,NA,NA,NA,11/9/15 20:23,1243
8,baseline,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",NA,0,,NA,4,3,NA,NA,NA,NA,NA,NA,11/9/15 20:24,1246
8,baseline,0,4,"Youí¢ä‰åä‹¢re about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",NA,1,I finally found a seat on the train during rush hour. I see and elderly gentlemen with a walker searching for a seat so he can relax his legs for the rest of his ride. I act as if I didn't see him and decided to plop right down in the seat and like everyone else start playing with my phone as if he isn't there.,NA,1,1,NA,NA,NA,NA,NA,NA,11/9/15 20:27,1264
8,baseline,0,13,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",NA,1,This is a little more difficult to imagine because whether the spouse got up with the baby or not I would still have to check in on my baby and make sure she is ok. Which I have done in the past. ,NA,1,1,NA,NA,NA,NA,NA,NA,11/9/15 20:29,1279
8,baseline,0,5,"Youí¢ä‰åä‹¢re in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",NA,0,,NA,6,6,NA,NA,NA,NA,NA,NA,11/9/15 20:31,1288
8,baseline,0,10,"Youí¢ä‰åä‹¢re a teenager, and your parents give you five dollars to buy ice cream cones for you and your sibling. You use the money to buy one big ice cream cone, and eat it yourself.",NA,1,Walking into the local ice cream parlor buying a huge waffle cone with french vanilla and eating it in front of my sibling. ,NA,2,2,NA,NA,NA,NA,NA,NA,11/9/15 20:34,1305
8,baseline,0,3,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",NA,1,Jane walked over to our crowded table during lunch and asked if she could sit with us so she wouldn't have to eat lunch alone. I immediately tell her there is no room and turn and continue talking with some of my friends.,NA,1,1,NA,NA,NA,NA,NA,NA,11/9/15 20:37,1321
8,baseline,0,8,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",NA,0,,NA,5,4,NA,NA,NA,NA,NA,NA,11/9/15 20:37,1327
8,baseline,0,6,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-workerí¢ä‰åä‹¢s performance on a project you did together. You tell your boss all the worst parts of your co-workerí¢ä‰åä‹¢s performance.,NA,0,,NA,3,3,NA,NA,NA,NA,NA,NA,11/9/15 20:38,1332
