subject,condition,story_id,story,imagine,response,responseRT,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
254,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,,29673,3.01,2,0,0,0,0,12345,4/9/16 18:56
334,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,19796,2.99,2.99,0,0,0,0,16886,4/9/16 18:56
452,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,24924,2,2.97,0,0,0,0,22496,4/9/16 18:56
407,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,39785,4.99,1.97,0,0,0,0,9635,4/9/16 18:57
112,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,38285,4.98,4,0,0,0,0,10357,4/9/16 18:57
91,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,,13385,6,4.97,0,0,0,0,11239,4/9/16 18:57
138,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,,3560,4.98,4,0,0,0,0,6866,4/9/16 18:57
549,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,20693,1.97,1.96,0,0,0,0,12896,4/9/16 18:57
314,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,24608,3.96,4.02,0,0,0,0,8394,4/9/16 18:57
534,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,,26084,5.21,2.83,0,0,0,0,14008,4/9/16 18:57
128,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,3381,5.28,6.12,0,0,0,0,4235,4/9/16 18:57
321,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,37881,1,1.99,0,0,0,0,10161,4/9/16 18:57
183,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,1652,5.92,4.98,0,0,0,0,5237,4/9/16 18:57
334,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,45786,2,3.2,0,0,0,0,13845,4/9/16 18:57
314,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,,21857,4.02,4.02,0,0,0,0,5134,4/9/16 18:58
362,2,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,44641,5,2.97,0,0,0,0,9930,4/9/16 18:58
321,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,26837,1,1.97,0,0,0,0,8056,4/9/16 18:58
88,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,,43329,4.94,3.03,0,0,0,0,14568,4/9/16 18:58
580,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"My roommate is struggling to set up furniture, he knows I am good with setting it up.  However, I have been looking forward to going out with my buddies all week.  Since they are my work buddies, I tell him about a supposed project we need to work on first, before we end up going out.  It was an elaborate lie.  But I didn't want to help.  However, I knew he needed it.  ",120000,2.98,2.15,1,2.78,5.67,5.74,6606,4/9/16 18:58
407,0,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,34806,2.98,1.04,0,0,0,0,11767,4/9/16 18:58
452,0,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,,6354,1.05,1.13,0,0,0,0,42953,4/9/16 18:58
535,2,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,64612,3,2,0,0,0,0,23431,4/9/16 18:58
580,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,4056,2.45,2.67,0,0,0,0,4495,4/9/16 18:58
112,2,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",0,,25058,2.02,2.06,0,0,0,0,6822,4/9/16 18:59
514,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,,27520,1.98,3.01,0,0,0,0,14287,4/9/16 18:59
172,2,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,,49354,5,3.03,0,0,0,0,17945,4/9/16 18:59
362,2,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,,30542,4.97,4.97,0,0,0,0,9725,4/9/16 18:59
145,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,,14055,5,4.95,0,0,0,0,15606,4/9/16 18:59
265,0,5,"You are walking down the street, and you see a fifty-dollar bill on the ground. You think that the person twenty yards in front of you dropped the bill. You pick it up and put it in your wallet.",0,,21751,2.93,3.05,0,0,0,0,12243,4/9/16 18:59
531,2,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,,14480,5.02,3.02,0,0,0,0,12854,4/9/16 18:59
175,2,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",0,,37007,5.94,5.04,0,0,0,0,19539,4/9/16 18:59
485,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"My best-friend and I had just moved into our new apartment together and decided to set up our rooms. While I was working on my room, I got a little thirsty and went to go grab some water. I walked past ehr room and saw she needed help. I asked if she needed he",120004,4.97,5.29,1,5.91,5.92,6.23,17633,4/9/16 18:59
