subject,condition,story_id,story,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,stamp
454,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"you divert your gaze and talk about them

you convert your prize and talk last time

you alert your nice and ",2.13,1.27,0,0,0,0,6497,3/28/16 14:47
76,1,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"bit, fit, git, hit, kit, lit, mitt, nit, pit, quit, tit, wit, zit
beat, eat, heat, meat, wheat, defeat, feet, neat, peat, sheet, elite, ",1,4,0,0,0,0,8617,3/28/16 14:47
149,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,I am in a hurry to catch my flight.  The plane will take off soon and my gate is pretty far away.  I am rushing with my wife and kids to make the flight.  If we miss it we will lose out on a lot of money and can't get another flight until tomorrow.  On the way to our gate we see an old man who has a large suitcase.  He is struggling to carry it.  I would normally try to stop and help but I am in such a hurry I simply look away and continue on my way.  While I feel a little bad about it if I stop and help him we will very likely miss our flight.,6,3.03,1,6.01,5.04,5.96,9979,3/28/16 14:47
435,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,A young woman comes to me on the car lot and asks about any flaws in the car that she is looking at. I tell her that it is in pristine condition with no flaws because I know that I have to sell the car in order to make my commission. It's a lie and I know it. I feel bad about it because I know that I am taking advantage of her ignorance about cars. She ,1.04,1.04,1,1.03,2.01,4,10308,3/28/16 14:47
18,1,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"flight eyes, ",2.57,2.97,0,0,0,0,29346,3/28/16 14:47
185,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,"Soup rhymes with coup, doup, goop.  Broth rhymes with cloth. One r",2.97,2.97,0,0,0,0,14306,3/28/16 14:48
114,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"flight:night, light, kite, sight, might
eyes: sighs, dies, cries
walk: talk, block, sock
bad: sad, mad, rad, fad, dad",4.99,2.96,0,0,0,0,10943,3/28/16 14:48
143,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",1,"I imagine myself going towards the area where the airplane is. I walk past a person without helping them. Although I am not obligated to help them, I still feel a great deal of guilt and think the maybe I should have helped. I am a firm believer in karma, and I feel like the same thing might happen to me. I dwell on this situation for the entire flight and feel bad, and finally I get over it. After all, who really knows if this person would help me if the situation was reversed?",7,3.03,1,6.06,7,7,10714,3/28/16 14:48
233,1,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",1,i imagine hearing the baby and waking up. i hear my partner wake up too and i pretend that i am still asleep. he looks over at me and decides to get up and check on the baby because he thinks i am still asleep,3.04,5.34,1,6.56,6.93,6.89,3255,3/28/16 14:48
284,1,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,since i know that the flaw is not likely to be noticed until the warranty period has passed i do not feel bad about lying.  i know that i need too feed and shelter my child so getting paid is the priority for me.  i would feel some guilt if the person spoke poorly of the company.  ,6.02,3.01,1,6,6,6.82,7641,3/28/16 14:48
310,1,1,"You are sitting with your friends in the cafeteria. There are no seats left at your table. You notice another person sitting alone at a different table. The person comes to your table and asks if they could sit with you, but you tell them there are no seats left.",1,"It's senior year.  I'm sitting at a table with Becky, Alicia, and Christina.  We're just about to open our brown bag lunches when Rachel comes over to our table.  I had noticed her sitting by herself as we walked into the cafeteria.  She asks if she can sit with us, but there are only four seats at our table and they are all full.  I notice that the table Rachel had previously been sitting at has six seats, so I offer to move to her table so there will be room for all of us.  Becky rolls her eyes as a make the offer, but she follows us anyway.",5.02,3.02,2,2.97,5.02,5.99,17797,3/28/16 14:48
165,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"I am sitting in a meeting with RJ, my manager, discussing a project I worked on with RC. He hasn't performed very well lately and I mention to her that I could use some more guidance from him, since he is the leader of the project. I also tell her that his confidence is lacking, so if we meet with other departments he relies heavily on me to take over. I don't really feel comfortable doing that every time. RJ seems to understand where I'm coming from and agrees that she has seen this behavior before in other situations. I feel bad, though, because it may negatively affect his performance review.",4.99,2.98,3,5.04,5,5,16372,3/28/16 14:49
225,1,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"tell - sell, fell, bell, hell, shell, yell, well, jell, dell, noel, ",1.92,3,0,0,0,0,24980,3/28/16 14:49
376,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,promotion demotion boss toss worst burst cursed first nursed ,1.97,3.01,0,0,0,0,11965,3/28/16 14:49
300,1,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"Tell rhymes with ""smell"" ""fell"" ""gel."" Ask rhymes with ""task"" ""bask"" ""flask."" Work rhymes with ""twerk"" ""perk"" ""jerk."" Bar rhymes with ""car"" ""par"" ""spar"" ""far"" ""tar."" ",5.01,2.96,0,0,0,0,12312,3/28/16 14:49
364,1,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,0,"You- too, blue, view, new sue 
Being, seeing
Big- rig, wig, cig, twig, fig
Boss- loss, toss, ",6.05,3.97,0,0,0,0,17892,3/28/16 14:49
230,0,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",0,Chew stew blue glue two shoe zoo new crew bend spend mend depend sheep steep peep creep house mouse louse speck wreck heck mayn,1,1.98,0,0,0,0,27326,3/28/16 14:49
213,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I am under stress at work to sell a number of cars by a predetermined deadline. I meet with a man looking to buy a car, and he is overly excited about one I know has a flaw. In order to meet my sales quota, I reluctantly lie and say the car is flawless. Afterward, I feel so guilty I can't work. I can't eat---I can't even sleep that night. I call the customer the next day and let him know we found a problem with the car during servicing and he should return it for a discount that comes out of my own paycheck.",1,1,1,1,6,6,18407,3/28/16 14:49
