subject,condition,story_id,story,imagine,response,rating_will,rating_happy,rating_check,rating_justif,rating_detail,rating_cohere,ratingRT,justifRT,stamp
587,0,4,You and a co-worker are both being considered for a big promotion. Your boss asks you to describe your co-worker's performance on a project you did together. You tell your boss all the worst parts of your co-worker's performance.,1,"As a new father, I feel that I deserve or need the promotion more, so I should get it. My co-worker would understand right? What if he is a slighty better employee, but is single and has no kids, then does he deserve it? What would he spend the money on? Does my boss know about my situation? Does he know about my co-workers situation? Was he asking me to describe my co-worker just to see what  I would say? Has he already made up his mind about who gets the promotion? ",4.11,2.8,1,2.55,6.86,6.75,8553,4203,5/23/16 18:45
375,2,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"you blind your eyes and run past them
you very your eyes and past them",1.87,5.08,1,3.86,0,0,4512,11746,5/23/16 18:45
337,1,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,"pine, fine, mine, rickets, putt, butt, but, bill, tune, see, bow, show, tow, row, mow, snow, ",1.07,2.02,1,1.98,0,0,5820,4869,5/23/16 18:46
322,0,0,"You are a car salesman who gets paid only when a car is sold. A customer is interested in a car, and asks you if it has any flaws. You know the car has a serious flaw. You tell the customer that the car has no flaws.",1,"I am a car salesman at a dealer in a large city.  I have not met my sales quota for this month, and my sales manager is placing a large amount of pressure on me to make a sale.  The customer I am helping seems like he will buy the car if I push hard enough.  The transmission is about to go out, but when he asks if the car has any issues, I tell him that it is running perfectly.  He then agrees to buy the car and tells about the family road trips he will use it for, and I feel extremely bad for lying to him about the condition of the vehicle.",1,1.95,1,1,7,7,6736,7091,5/23/16 18:46
359,2,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",1,"I was in a hurry getting ready when my room mate started asking for help. However I cant, cause I have a project for work and I must meet the client this evening at the bar. SO I declined and felt my behavior is justified.",7,4.03,1,6,7,7,12178,13593,5/23/16 18:47
199,0,6,"You are rushing to catch a flight, and you see a person struggling with a heavy suitcase. You avert your eyes and walk past them.",0,"Flight rhymes with ""trite"", ""right"", ""spite"", ""might"". Walk rhymes with ""talk"", ""chalk"", ""mock"", ""knock"". Past rhymes with ""last"", ""vast"", ""gassed"". ",6.07,3.65,1,6.09,0,0,8128,7777,5/23/16 18:47
562,1,8,"You're having guests over for dinner. You spend hours cooking a soup using chicken broth. After you finish, you realize one of your guests is vegetarian. You tell them that the soup is made with vegetable broth.",0,"sell, bell, hell, gel
droop, poop, hoop, loop, coup
looking, booking, hooking, making, ",1,3.01,1,1,0,0,8927,16323,5/23/16 18:47
526,1,9,"You are a new parent. In the middle of the night, your baby starts crying. Either you or your spouse has to check on the baby. You pretend to be asleep until your spouse gets up to check on the baby.",1,"I can hear my wife waking up to check on the baby. Although no words are exchanged, I feel like she knows I am awake. She doesn't mind getting up to check on the baby, though--she knows that I have to be up for work at 6:00 AM. I'm glad to have her around; my wife is a good wife.",4.99,3.78,1,4.49,6,5.98,9002,21858,5/23/16 18:47
82,0,7,"Your roommate is struggling to set up furniture in their room. They ask you if you can help, but you want to go out to a bar. You tell them you have to go finish a project for work, and go out to the bar.",0,"Room rhymes with boom, tomb, loom, coon. Bar rhymes with tar, far, par, jar, car.  Tell rhymes with fell, hell, sell, cell. Can rhymes with tan, man, fan,van, pan, ran.  ",2.03,1.2,1,1,0,0,34775,8833,5/23/16 18:47
193,2,2,"You're about to sit down on a crowded train, when you see an elderly person searching for a seat. You sit down in the seat.",0,"Sit rhymes with: fit, kit, lit. down rhymes with: frown,crown, noun. seat rhymes with: meat, feat,cleat ",6.13,4,1,6.1,0,0,17519,14493,5/23/16 18:47
94,0,3,"You're in line to get tickets for a popular movie. The movie will soon sell out. You see a person you know standing in line. The person is at the front of the line, and you use them as an excuse to cut the line.",0,cut what nut but gut hut mutt shut put jut rut,2.93,2.03,1,1.98,0,0,9355,10284,5/23/16 18:48
